;规则
;金币,爆率,数量 G,4,30
骷髅弓箭手: G,3,500|P,R3,1,25|P,B3,1,40|P,S1,1,50|P,S2,1,200|T2,20000|B6,9600|B5,1200|B4,500
骷髅长枪兵: G,4,200|G,3000,2000|P,S1,1,200|P,S3,1,200|T2,20000|B5,700|B4,500|B3,500|B2,500
骷髅刀斧手: G,40,800|P,S1,1,20|P,S3,1,200|T2,20000|B6,3400|B5,1700|B4,800
骷髅锤兵: G,4,1000|P,S1,1,40|P,S3,1,200|T2,20000|T1,20000|B6,18700|B5,3700|B4,500
骷髅弓箭手0: G,1,1000|P,S2,6,2|P,S1,2,2|P,R3,4,2|P,B3,4,2|T2,2000|ST1,450|B6,8|B5,50
骷髅长枪兵0: G,1,2000|P,S1,4,10|P,R3,4,10|P,B3,4,10|T2,2000|B6,300|B4,40|B3,50
骷髅刀斧手0: G,1,3000|P,S1,4,2|P,R3,4,2|P,B3,4,2|T2,2000|B6,300|B5,8|B4,5
骷髅锤兵0: G,1,1000|P,S1,4,2|P,R3,4,2|P,B3,4,2|T2,2000|T1,2000|B6,300|B5,8|B4,5

;牛魔洞570
牛头魔: G,3,375|G,10000,5000|T2,16000|M4,6000|B6,11200|B5,1400|B4,500
牛魔战士: G,3,450|P,S1,1,25|P,S2,1,100|T2,16000|M4,6000|B6,4400|B5,1100
牛魔斗士: G,3,450|P,S1,1,25|P,S2,1,100|T2,16000|M4,6000|B6,8800|B5,1100|B4,500
牛魔侍卫: G,3,650|P,R3,1,100|P,B3,1,200|P,S2,1,100|T2,16000|M4,6000|B6,2000|B5,500|B4,500
牛魔法师: G,3,850|P,R3,1,10|P,B3,1,20|P,S1,2,20|P,S2,1,200|T2,16000|T1,20000|M4,6000|B6,4000|B5,500|B4,500
牛魔祭司: G,5,2000|P,S2,5,3|P,S2,5,6|P,R3,2,2|P,B3,2,2|P,O2,1,380|D1,120|T2,16000|T1,20000|W1,20000|M4,6000|M5,1700|ST2,1000|B6,240
牛魔将军: G,10,4000|P,S2,2,2|P,S1,1,2|D1,180|T2,16000|T1,20000|W1,20000|M4,1000|ST2,2000
牛头魔0: G,1,1000|P,S1,4,2|P,R3,4,2|P,B3,4,2|T2,1600|M4,800|ST1,200|B6,300|B5,5
牛魔战士0: G,1,550|P,S1,4,20|T2,1600|M4,800|ST1,300|B6,80|B5,50
牛魔斗士0: G,1,950|P,S1,4,20|P,R3,4,20|P,B3,4,20|T2,1600|M4,800|ST1,600|B6,50|B5,50
牛魔侍卫0: G,1,800|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|T2,1600|M4,800|ST1,800|ST3,800|B6,80|B5,50
牛魔法师0: G,1,1000|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|T2,1600|M4,800|ST1,800|B6,8|B5,5
牛魔祭司0: G,1,2000|P,S2,4,4|P,S1,4,4|T2,1600|T1,1500|W1,3000|M4,740|M5,800|B6,400|B5,30
牛魔将军0: G,1,2000|P,S2,4,4|P,S1,4,4|T2,1600|T1,500|W1,2500|M4,340|M5,500|B6,140|B5,30

;祖玛寺庙1000
大老鼠: G,3,300|G,10000,500|P,R2,1,15|P,B2,1,25|P,S1,1,40|D1,500|T1,16000|W1,20000|M5,6000|ST1,8000|ST2,12000|B6,7200|B5,900|B4,500
祖玛弓箭手: G,3,300|P,R3,1,25|P,B3,1,40|P,S1,1,50|D1,250|ZMW,16000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,4000|ST2,8000|B6,9600|B5,1200|B4,500
祖玛雕像: G,3,450|P,R3,1,10|P,B3,1,20|P,S1,3,20|D1,200|ZMW,16000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,4000|ST2,8000|B6,4000|B5,500|B4,500
祖玛卫士: G,3,450|G,10000,500|P,R3,1,100|P,B3,1,200|P,S1,4,200|D1,200|ZMW,16000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,4000|ST2,8000|B6,4000|B5,500|B4,500
大老鼠0: G,1,400|P,S1,4,2|P,R3,4,2|P,B3,4,2|T1,1600|W1,2000|M5,600|ST1,3000|ST2,1200|B6,80|B5,50|B4,50
祖玛弓箭手0: G,1,400|P,S2,6,2|P,S1,2,2|P,R3,4,2|P,B3,4,2|ZMW,1600|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,8|B5,50
祖玛雕像0: G,1,400|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|ZMW,1600|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,8|B5,5
祖玛卫士0: G,1,400|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|ZMW,1600|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,80|B5,50

;封魔谷1200
封魔尸王: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|D1,6000|M1,300|M2,500|M3,700|M4,8000|M5,6000|ST5,10000|B6,4000|B5,1000|B4,500|B2,500
封魔护卫: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|T1,5000|M2,500|M3,700|M4,1200|M5,6000|B6,3000|B5,5000|B4,300
封魔白野猪: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|D1,1800|FMW,12000|W2,20000|T1,1600|W1,3000|M4,6000|M5,6000|ST2,20000|B6,4000|B5,300
封魔弓箭手: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|FMW,12000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,2000|ST2,8000|B6,800|B5,500
封魔邪恶钳虫: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|D1,1200|FMW,12000|T1,8000|W1,8000|M4,9000|M5,6000|ST2,15000|ST3,16000|B6,3200|B5,300|B4,200|B3,300
封魔邪恶毒蛇: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|P,O2,1,800|D1,1200|FMW,12000|T1,8000|W1,8000|M5,6000|ST2,10000|B6,2400|B5,500|B3,500
封魔雕像: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|FMW,12000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,2000|ST2,8000|B6,800|B5,500
封魔卫士: G,3,450|P,R3,2,10|P,B3,2,20|P,S1,2,30|FMW,12000|T3,20000|W2,20000|T1,8000|W1,12000|M5,6000|ST1,2000|ST2,8000|B6,800|B5,500
封魔沃玛教主0: G,3,1000|P,S2,8,10|P,S2,2,20|P,S1,8,10|P,S1,2,20|P,R3,8,10|P,R3,2,20|P,B3,8,10|P,B3,2,20|P,O2,1,4000|D1,600|SR,40000|FMW,12000|T1,8000|W1,12000|M4,850|M5,600|ST1,4000|ST4,20000|B6,800|B5,200
封魔尸王0: G,1,2500|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R3,2,2|P,B2,3,1|P,B3,2,2|D1,600|M1,3|M2,50|M3,70|M4,800|M5,600|ST5,1000|B6,40|B5,10|B4,5|B2,5
封魔护卫0: G,1,1000|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R2,2,1|P,R3,1,1|P,R3,2,2|P,B2,2,1|P,B3,1,1|P,B3,2,2|T1,500|M2,50|M3,20|M4,120|M5,600|B6,30|B5,50|B4,3
封魔白野猪0: G,1,5000|P,S2,5,1|P,S2,5,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|D1,180|FMW,1200|W2,2000|T1,160|W1,300|M4,600|M5,600|ST2,2000|B6,400|B5,3
封魔弓箭手0: G,1,1000|P,S2,6,2|P,S1,2,2|P,R3,4,2|P,B3,4,2|FMW,1200|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,8|B5,50
封魔邪恶钳虫0: G,1,3500|P,S2,5,1|P,S2,5,2|P,S1,7,1|P,S1,7,2|P,R2,2,1|P,R3,3,1|P,R3,5,2|P,B2,2,1|P,B3,3,1|P,B3,5,2|D1,120|FMW,1200|T1,1600|W1,1200|M4,900|M5,600|ST2,1500|ST3,1600|B6,320|B5,3|B4,2|B3,3
封魔邪恶毒蛇0: G,1,1500|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,80|D1,120|FMW,1200|W3,1000|W2,720|T1,500|W1,720|M5,600|ST2,1000|B6,240|B5,5|B3,5
封魔雕像0: G,1,2000|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|FMW,1200|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,8|B5,5
封魔卫士0: G,1,2000|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|FMW,1200|T3,2000|W2,2000|T1,800|W1,1200|M5,600|ST1,200|ST2,800|B6,80|B5,50

;魔龙1100
魔龙刀兵: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T4,24000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|M5,3000|ST1,16000|B6,300|O,4000,龙鳞
魔龙破甲兵: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T4,24000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|M5,3000|ST1,16000|B6,300|O,4000,龙鳞
魔龙射手: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T4,24000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|M5,3000|ST1,16000|B6,300|O,4000,龙鳞
魔龙石碑: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T4,24000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|M5,3000|ST1,16000|B6,300|O,4000,龙鳞
魔龙刀兵0: G,1,500|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T4,2400|T3,2000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞
魔龙破甲兵0: G,1,500|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T4,2400|T3,2000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞
魔龙射手0: G,1,500|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T4,2400|T3,2000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞
魔龙巨蛾: G,1,550|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T5,3000|T4P,3000|T4,2400|W4,8000|T3,2000|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞
魔龙力士: G,1,550|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T5,3000|T4P,3000|T4,2400|W4,8000|T3,2000|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞
魔龙战将: G,1,550|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T5,3000|T4P,3000|T4,2400|W4,8000|T3,2000|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|M5,300|ST1,1600|B6,30|O,2000,龙鳞

;狐月山1300
狐月虎虫: G,3,450|P,R3,1,15|P,B3,1,25|P,S1,1,50|T1,16000|W1,24000|B6,4000|B5,1000|B4,500|O,1000,护心丹
狐月角虫: G,3,450|P,R3,1,15|P,B3,1,25|P,S1,1,50|T1,16000|W1,24000|B6,4000|B5,1000|B4,500|O,1000,护心丹
狐月魔眼: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月之眼: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月魂石: G,3,500|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|W3,24000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月黑狐: G,3,550|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|W3,24000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月赤狐: G,3,550|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|W3,24000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月素狐: G,3,550|P,R4,2,15|P,B4,2,25|P,S2,2,50|T6,24000|W4,28000|T3,20000|W3,24000|T2,16000|W2,20000|T1,8000|W1,12000|ST1,16000|ST2,12000|ST3,12000|B6,300|O,1000,护心丹
狐月黑狐0: G,1,650|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T7,3600|T6,2400|W4,8000|T3,200|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|ST1,1600|ST2,1200|ST3,1200|B6,30|O,100,护心丹
狐月赤狐0: G,1,650|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T7,3600|T6,2400|W4,8000|T3,200|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|ST1,1600|ST2,1200|ST3,1200|B6,30|O,100,护心丹
狐月素狐0: G,1,650|P,S2,4,2|P,S1,4,2|P,R4,4,2|P,B4,4,2|T7,3600|T6,2400|W4,8000|T3,200|W3,5000|T2,1600|W2,2000|T1,800|W1,1200|ST1,1600|ST2,1200|ST3,1200|B6,30|O,100,护心丹

;BOSS
幻影寒虎: G,1,700|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R2,2,1|P,R3,1,1|P,R3,2,2|P,B2,2,1|P,B3,1,1|P,B3,2,2|T1,500|M2,50|M3,100|M4,120|B6,50|B5,40|B4,30
半兽勇士: G,1,1160|P,S2,2,1|P,S2,3,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R2,2,2|P,B2,3,1|P,B2,2,2|P,O2,1,10|M2,16|B4,10|B3,40|B2,40
巨型多角虫: G,1,120|P,S2,3,10|P,S2,2,20|P,S1,5,10|P,S1,5,20|P,R2,3,1|P,R2,2,2|P,B2,3,1|P,B2,2,2|M1,5|M2,50|B4,10|B3,10|B2,5
骷髅精灵: G,1,12|P,S2,3,10|P,S2,2,20|P,S1,5,10|P,S1,6,20|P,R2,3,10|P,R2,2,20|P,B2,3,10|P,B2,2,20|D1,100|M1,30|M2,50|M3,10|B5,10|B4,50|B3,30|B2,30
